Author,Content,Date,Note,Réponse,Date Réponse,Contenu de la réponse
Mr ROUVIERE,SITE CLAIRPRIX CORRECTSCONFIANCE,20/09/2019,5,,,
Yves LE TOUX,"Ce site pourrait être bien plus convivial lorsqu'il y a un problème, car impossible de le joindre directement par courriel ( sans passer par une commande et dans ce cas le message est envoyé au vendeur!!!!!!Sinon, il faut payer cher une communication(légal?????) pour ""TENTER"" de les joindre avec les délais d'attente que vous pouvez imaginer joindreDe plus les prix pourraient être plus attractif. Les estimations indiquées (par les vendeurs???? le site????) de gains sur les prix sont faux et largement exagérés.Et enfin, lors de la navigation, lorsqu'on trie les résultats et qu'on consulte un article, lorsqu'on revient sur le résultat de la recherche, on est toujours obligé de retrier, encore et encore........",20/09/2019,3,Réponse : Cdiscount,20/09/2019,"Bonjour Yves,Vous avez raison, on peut toujours s'améliorer ! Quelques précisions toutefois :)  Si vous avez passé une commande marketplace, il est normal que les messages soient automatiquement envoyés au vendeur car c'est à lui de vous renseigner et de vous apporter une solution si besoin. Le service clients peut bien sûr prendre le relais si le vendeur ne répond pas.Nous faisons aussi en sorte de vous proposer les offres les plus intéressantes possibles, il y en a d'ailleurs régulièrement sur le site et je vous invite à rester connecté pour en profiter.Si vous avez besoin de nous joindre, n'hésitez pas à passer par le numéro non surtaxé, par la fenêtre de chat ou par les réseaux sociaux : il y aura toujours quelqu'un pour vous renseigner.À bientôt et merci de votre confiance,Damien"
PATRICK NIVOIS,,20/09/2019,5,,,
brigitte merigot,"tout est bien ,je commande depuis de nombreuses années parfait",20/09/2019,5,,,
client,"Commande facile, prix interessants",20/09/2019,5,,,
germaine chaivialle,Tout se passe trés quand je commande sur ce site.,20/09/2019,5,,,
Serge RABUT,IMPEC   PAS CHER ET RAPIDE,20/09/2019,5,,,
CC69,,20/09/2019,3,Réponse : Cdiscount,20/09/2019,"Bonjour,Merci pour vos remarques, n'hésitez pas à nous en dire plus sur ce qui fonctionne mal ! Changer de navigateur Internet est souvent la bonne solution en cas de souci technique ;)À bientôt,Damien"
Michel,tout va bien pour le moment,20/09/2019,4,,,
RICHARD MAGNE,"Il est des sites ou la simplicité et l'efficacité font bon ménage. Le votre en fait partie. Il y a 5 minutes je me suis dit qu'il fallait que je change mon casque wifi filaire. Et en 5 minutes donc, non seulement j'ai trouvé le modèle auquel je pensais, à un prix plus que correct, mais j'ai pu passer la commande en deux minutes !!!Il n'y a plus qu'à attendre la livraison. Le tout en 5 minutes ! Bravo à vous.",20/09/2019,5,,,
Karine AUBERGER,,20/09/2019,5,,,
ANGE,ma carte a été enregistrée sans que je le demande très pratique certe mais je peux etre facilement volé,20/09/2019,3,Réponse : Cdiscount,20/09/2019,"Bonjour,Notre site est tout de même bien sécurisé, mais si vous pouvez supprimer votre carte si vous ne voulez pas qu'elle reste enregistrée. La démarche se fait très simplement dans votre Espace Client ;)Merci de votre confiance et à bientôt,Damien"
fab dautun,pour l'instant et comme d’habitude excelent,20/09/2019,5,,,
ALAIN PIMPAUD,trop de prix différents. la Pub disait les chaises à 295 et quand on clique sur cette pub elles apparaissent à + de 400 !!!,19/09/2019,2,Réponse : Cdiscount,20/09/2019,"Bonjour Alain,Vous faites bien de nous le signaler s'il y a eu un problème technique, cela peut arriver. La prochaine fois je vous invite à nous en dire plus pour que l'on puisse rectifier. Vous pouvez aussi nous contacter par téléphone ou via la fenêtre de chat pour poser vos questions et recevoir de l'aide.À bientôt j'espère,Damien"
Claude,,19/09/2019,5,,,
jean-francois mpeck,il est super le site CDISCOUNT,19/09/2019,4,,,
michele paule,,19/09/2019,5,,,
lasp,,19/09/2019,1,,,
catherine,,19/09/2019,5,,,
Michel Baude,tres bonne comprehension du site et bonne journée a vous tous,19/09/2019,5,,,
ARMAND GERBER,Jamais eu de problème avec votre site les quelques ennuis que j'ai pu avoir provenait de vos revendeurs,19/09/2019,5,,,
alain comte,,19/09/2019,4,,,
